angle,distance,type
-19.3921105549041,1.9964959875049135,0
-19.3921105549041,2.006026442122974,0
-19.3921105549041,2.006026442122974,0
-19.3921105549041,2.006026442122974,0
-19.3921105549041,2.006026442122974,0
-19.3921105549041,2.006026442122974,0
-19.3921105549041,2.006026442122974,0
-19.3921105549041,2.006026442122974,0
-19.3921105549041,1.9869673230994862,0
-19.3921105549041,1.9869673230994862,0
-19.3921105549041,1.9869673230994862,0
-19.3921105549041,1.9869673230994862,0
-19.392110554904097,2.0155586879630483,0
-19.392110554904097,2.0155586879630483,0
-19.392110554904097,2.0155586879630483,0
-19.392110554904097,2.0155586879630483,0
-19.392110554904097,2.0155586879630483,0
-19.155010073563737,1.9970632779873736,0
-19.155010073563737,1.9970632779873736,0
-19.155010073563737,1.9970632779873736,0
-19.155010073563737,1.9970632779873736,0
-19.155010073563737,1.9970632779873736,0
-19.155010073563737,1.9970632779873736,0
-19.155010073563737,1.9970632779873736,0
-19.155010073563737,1.9970632779873736,0
-19.155010073563737,1.9970632779873736,0
-19.155010073563737,1.9970632779873736,0
-19.155010073563737,1.9970632779873736,0
-19.155010073563737,1.9970632779873736,0
-19.155010073563737,1.9970632779873736,0
-19.155010073563737,1.9970632779873736,0
-19.155010073563737,1.9970632779873736,0
-19.155010073563737,1.9970632779873736,0
-19.155010073563737,1.9970632779873736,0
-19.155010073563737,1.9970632779873736,0
-19.155010073563737,1.9970632779873736,0
-19.155010073563737,1.9970632779873736,0
-19.155010073563737,1.9970632779873736,0
-19.155010073563737,1.9970632779873736,0
-19.155010073563737,1.9970632779873736,0
-19.155010073563737,1.9970632779873736,0
-19.155010073563737,2.006593321338072,0
-19.155010073563737,2.006593321338072,0
-19.155010073563737,2.006593321338072,0
-19.155010073563737,2.006593321338072,0
-19.629556913945443,2.996916918374746,0
-19.629556913945443,2.996916918374746,0
-19.629556913945443,2.996916918374746,0
-19.629556913945443,2.996916918374746,0
-19.629556913945443,2.996916918374746,0
-19.629556913945443,2.996916918374746,0
-19.629556913945446,3.006639686963503,0
-19.629556913945446,3.006639686963503,0
-19.629556913945443,2.9871960505459145,0
-19.629556913945443,2.9871960505459145,0
-19.629556913945443,3.0163643574277006,0
-19.629556913945443,3.0163643574277006,0
-19.629556913945443,3.0163643574277006,0
-19.629556913945443,3.0163643574277006,0
-19.629556913945443,2.977477082362582,0
-19.629556913945443,2.977477082362582,0
-19.3921105549041,2.9974455208413078,0
-19.3921105549041,2.9974455208413078,0
-19.3921105549041,2.9974455208413078,0
-19.3921105549041,2.9974455208413078,0
-19.3921105549041,2.9974455208413078,0
-19.3921105549041,2.9974455208413078,0
-19.3921105549041,2.9974455208413078,0
-19.3921105549041,2.9974455208413078,0
-19.3921105549041,2.9974455208413078,0
-19.3921105549041,2.9974455208413078,0
-19.3921105549041,2.9974455208413078,0
-19.3921105549041,2.9974455208413078,0
-19.3921105549041,2.9974455208413078,0
-19.3921105549041,2.9974455208413078,0
-19.3921105549041,2.9974455208413078,0
-19.3921105549041,2.9974455208413078,0
-19.3921105549041,2.9974455208413078,0
-19.3921105549041,2.9974455208413078,0
-19.3921105549041,2.9974455208413078,0
-19.3921105549041,2.9974455208413078,0
-19.3921105549041,2.9974455208413078,0
-19.3921105549041,2.9974455208413078,0
-19.3921105549041,2.9974455208413078,0
-19.3921105549041,2.9974455208413078,0
-19.3921105549041,2.9974455208413078,0
-19.3921105549041,2.9974455208413078,0
-19.3921105549041,2.9974455208413078,0
-19.3921105549041,2.9974455208413078,0
-19.3921105549041,2.9974455208413078,0
-19.3921105549041,2.9974455208413078,0
-19.3921105549041,2.9974455208413078,0
-19.3921105549041,2.9974455208413078,0
-19.3921105549041,2.9974455208413078,0
-19.3921105549041,2.9974455208413078,0
